파일명	화자	치환	60경기_등장	문장
analyst/an.save.2.mp3	해설위원	정적	119	각을 좁힌 게 컸어요.
analyst/an.save.1.mp3	해설위원	이름+숫자	115	다비드 라야, 자리 선정이 좋았습니다.
analyst/an.miss.3.mp3	해설위원	정적	114	급했습니다. 한 박자만 참았으면요.
analyst/an.save.0.mp3	해설위원	숫자	110	네, 이런 선방이 승점을 지킵니다.
analyst/an.miss.2.mp3	해설위원	숫자	110	이런 게 쌓이면 후회로 남습니다.
analyst/an.save.3.mp3	해설위원	숫자	109	이런 장면 하나가 수비를 편하게 하죠.
analyst/an.miss.0.mp3	해설위원	정적	106	조금만 더 눕혀 찼으면 좋았을 텐데요.
analyst/an.miss.1.mp3	해설위원	정적	104	네, 슛 선택은 맞았습니다.
analyst/flow.even.2.mp3	해설위원	정적	50	네, 한 번의 실수가 경기를 가를 분위기입니다.
analyst/an.corner.0.mp3	해설위원	정적	33	세트피스 하나가 경기를 가릅니다.
analyst/an.yellow.1.mp3	해설위원	숫자	31	네, 발이 먼저 들어갔습니다.
analyst/an.corner.1.mp3	해설위원	정적	31	네, 두 번째 볼 싸움을 봐야죠.
analyst/an.fulltime.1.mp3	해설위원	정적	27	결정적인 순간을 누가 잡았느냐로 갈렸습니다.
analyst/an.fulltime.0.mp3	해설위원	정적	27	네, 두 팀 다 준비한 걸 꺼낸 경기였습니다.
analyst/an.halftime.1.mp3	해설위원	숫자	25	라커룸에서 어떤 이야기가 나오느냐가 후반을 가릅니다.
analyst/an.goal.opener.0.mp3	해설위원	숫자	24	네, 선제골의 무게가 큽니다. 이제 상대가 나와야 하죠.
analyst/an.halftime.0.mp3	해설위원	숫자	23	네, 후반 십오 분이 분수령이 될 겁니다.
analyst/an.yellow.2.mp3	해설위원	정적	22	벤치가 교체를 고민하게 되죠.
analyst/an.yellow.0.mp3	해설위원	숫자	22	경고를 안고 뛰면 발이 안 나갑니다.
analyst/an.goal.any.2.mp3	해설위원	숫자	21	점수 차가 벌어지면 뒤진 쪽이 라인을 올려야 하죠.
analyst/an.goal.any.0.mp3	해설위원	정적	19	네, 마무리가 침착했습니다. 서두르면 안 들어가거든요.
analyst/an.goal.clincher.0.mp3	해설위원	정적	19	남은 시간을 생각하면 뒤집기가 쉽지 않습니다.
analyst/an.goal.opener.1.mp3	해설위원	숫자	18	먼저 넣은 쪽이 경기를 끌고 갑니다.
analyst/an.goal.clincher.2.mp3	해설위원	숫자	17	이제 벤치는 다음 경기를 생각할 겁니다.
analyst/an.goal.opener.2.mp3	해설위원	숫자	17	이 한 골로 경기 운영이 편해집니다.
