# 시연영상 가이드 내레이션 작업목록 — 이 파일의 text 열만 음성으로 만든다
# 파일명은 id.wav 로 저장한다 (예: C1-01.wav)
# id	conditional	text
C1-01	N	현실에서 축덕인 내가, 이세계에선 국대 감독.
C1-02	N	2026년 월드컵을 다시 지휘하는 축구 감독 시뮬레이션입니다.
C1-03	N	실제로 대한민국은 1승 2패로 조별리그에서 탈락했습니다.
C1-04	N	그 대회를 처음부터 다시 치릅니다.
C1-05	N	시작 화면에는 버튼이 두 개 있습니다.
C1-06	N	캠페인 시작은 조별리그 세 경기부터 결승까지, 최대 여덟 경기를 이어서 치르는 본편입니다.
C1-07	N	리더보드 보기는 다른 감독들의 순위표입니다.
C1-08	N	여정이 끝나면 점수가 여기 기록됩니다. 그 화면은 영상 마지막에 다시 보여 드리겠습니다.
C1-09	N	캠페인 시작을 누르겠습니다.
C2-01	N	전체 일정입니다.
C2-02	N	조별리그 세 경기를 치르고, 조 2위 안에 들면 토너먼트로 갑니다.
C2-03	N	결승까지 가면 최대 여덟 경기입니다.
C2-04	N	조별 세 경기에는 실제 역사의 결과가 기준선으로 적혀 있습니다.
C2-05	N	첫 상대 체코전은 실제로 2대 1로 이긴 경기입니다.
C2-06	N	후반에 한 골을 먼저 내주고 황인범과 오현규가 뒤집었습니다.
C2-07	N	토너먼트 대진은 조별리그를 통과해야 정해집니다.
C2-08	N	한 가지 중요한 점이 있습니다. 경기는 따로 노는 게 아니라 이어집니다.
C2-09	N	선수의 체력과 사기가 다음 경기로 넘어가고, 경고를 두 장 받으면 다음 경기에 못 나옵니다.
C2-10	N	그래서 오늘 누구를 혹사시킬지가 다음 경기를 좌우합니다.
C2-11	N	체코전 준비하기를 누르면 전술 센터로 들어갑니다.
C3-01	N	전술 센터입니다. 탭이 세 개 있습니다. 선발 라인업, 팀 전술, 상대 브리핑.
C3-02	N	먼저 선발 라인업입니다.
C3-03	N	포메이션은 여섯 가지 중에 고릅니다.
C3-04	N	4-2-3-1에서 3-5-2로 바꾸면 열한 명이 자동으로 재배치됩니다.
C3-05	N	선수는 끌어서 옮깁니다.
C3-06	N	집으면 선수가 커서를 따라오고,
C3-07	N	다른 선수 위에 올리면 표시가 뜹니다.
C3-08	N	여기서 놓으면 두 선수의 자리가 바뀝니다.
C3-09	N	벤치 선수 위에 놓으면 교체가 됩니다.
C3-10	N	드래그가 어려우면 두 명을 클릭해서 버튼으로도 바꿀 수 있습니다.
C3-11	N	키보드로도 됩니다. 스페이스로 집고, 화살표로 옮기고, 다시 스페이스로 놓습니다.
C3-12	N	선수를 클릭하면 상세 카드가 열립니다.
C3-13	N	속도, 패스, 슛, 수비 같은 능력치를 육각형으로 보여 주고, 지금 체력과 사기도 함께 나옵니다.
C3-14	N	두 명을 고르면 두 선수를 나란히 비교합니다.
C3-15	N	오른쪽 배치 점검에서 자리에 안 맞는 선수를 알려 줍니다.
C4-01	N	두 번째 탭, 팀 전술입니다. 서브탭이 세 개입니다.
C4-02	N	태세부터 보겠습니다.
C4-03	N	매우 수비적부터 매우 공격적까지 다섯 단계입니다.
C4-04	N	공격적으로 올리면 왼쪽 작전판에서 팀의 무게중심이 앞으로 이동합니다.
C4-05	N	숫자가 아니라 그림으로 확인할 수 있습니다.
C4-06	N	라인별 적극성도 따로 정합니다. 수비, 미드필드, 공격을 각각 자제, 기본, 적극으로 나눕니다.
C4-07	N	지시 탭에서는 수비 라인 높이와 압박 강도, 템포를 조절합니다.
C4-08	N	슬라이더를 올리면 작전판의 수비 라인이 같이 올라갑니다.
C4-09	N	세트피스 탭에서는 코너킥 전술을 정합니다.
C4-10	N	니어 포스트냐 파 포스트냐, 박스에 몇 명을 넣느냐.
C4-11	N	이 선택은 실제 코너킥 득점 확률에 반영됩니다.
C5-01	N	세 번째 탭은 상대 브리핑입니다.
C5-02	N	상대의 예상 포메이션과 선발 열한 명,
C5-03	N	별표가 붙은 선수가 경계해야 할 핵심 선수입니다.
C5-04	N	내 포메이션과 상대 포메이션의 상성도 수치로 나옵니다.
C5-05	N	전술이 정해졌으면 킥오프를 누릅니다.
C6-01	N	경기가 시작됩니다.
C6-02	N	중계는 실제 음성으로 나옵니다. 캐스터와 해설위원 두 사람이고, 천 개가 넘는 음성 조각을 미리 만들어 두었습니다.
C6-04	N	경기 화면은 3D와 2D를 오갈 수 있습니다.
C6-05	N	2D 작전판으로 바꾸면 선수 위치와 전술이 더 잘 보입니다.
C6-06	N	재생 속도도 조절합니다. 한 배, 1.5배, 두 배입니다.
C6-07	N	오른쪽 위 설정에서 음소거와 해설 끄기도 가능합니다.
C6-08	N	화면 아래 티커에는 슈팅, 점유율, 파울 같은 실시간 기록이 흐릅니다.
C7-01	N	경기 중에는 감독 타임을 쓸 수 있습니다.
C7-02	N	경기당 다섯 번, 한 번 쓰면 십 분을 기다려야 합니다.
C7-03	N	흐름이 넘어가거나 골이 나면 화면에 제안이 뜹니다.
C7-04	N	사용을 누르면 경기가 멈추고 작전판이 열립니다.
C7-05	N	하프타임에는 팀 토크를 합니다.
C7-06	N	분노, 격려, 침착, 신뢰 중에 하나를 고르면 선수들의 사기가 바로 바뀝니다.
C7-07	N	교체는 경기당 다섯 명, 기회는 세 번입니다.
C7-08	N	나갈 선수와 들어올 선수를 고르고 확정합니다.
C7-09	N	경기를 멈추지 않고 터치라인에서 외칠 수도 있습니다.
C7-10	N	독려, 더 뛰어, 침착, 칭찬 네 가지이고 오 분마다 한 번씩입니다.
C7-11	N	전술 확정을 누르면 경기가 다시 시작됩니다.
C7-12	Y	토너먼트에서 비기면 승부차기로 갑니다. 키커 다섯 명의 순서를 직접 정하고, 한 명씩 방향을 고릅니다.
C8-01	N	경기가 끝나면 기자회견이 열립니다.
C8-02	N	질문은 정해져 있지 않습니다. 감독이 실제로 한 선택에서 만들어집니다.
C8-03	N	교체를 했으면 교체를 묻고, 전술을 바꿨으면 그것을 묻습니다.
C8-04	N	답변은 세 가지 톤입니다. 공격적, 겸손, 유머.
C8-05	N	어떻게 답하느냐가 다음 화면을 바꿉니다.
C9-01	N	경기 결과는 신문 한 면으로 나옵니다.
C9-02	N	헤드라인은 방금 한 답변을 반영해서 만들어집니다.
C9-03	N	이미지로 저장해서 공유할 수도 있습니다.
C9-04	N	이렇게 여덟 경기를 치르면 여정이 끝납니다. 탈락한 라운드까지가 당신의 기록이고, 우승하면 우승으로 남습니다.
C9-05	N	엔딩 화면에서 전체 여정을 돌아봅니다. 어느 경기에서 이기고 졌는지, 총점이 얼마인지.
C9-06	N	여기서 닉네임을 입력하면 리더보드에 등록됩니다.
C9-07	N	도달한 라운드와 승점, 득실, 무실점 경기를 합산한 점수입니다.
C9-08	N	앞에서 말씀드린 그 순위표입니다.
C9-09	N	전체 순위 보기를 누르면 다른 감독들의 기록이 나옵니다.
C10-01	N	현실에서 축덕인 내가, 이세계에선 국대 감독.
C10-02	N	지금 바로 플레이할 수 있습니다.
