# 누락 클립 41개 — 전부 고정 문장(가변 슬롯 없음). 통문장 직접 생성.
# role	src_line	text
analyst	780	교체 직후엔 자리가 한 번 흔들립니다. 지금이 그 시간이죠.
analyst	777	교체 카드를 쓰고 나서 곧바로 장면이 나옵니다.
analyst	743	네, 내려서서 공간을 벌어 두고 한 번에 나갔습니다.
analyst	778	네, 들어온 선수가 다리가 살아 있으니 확실히 다릅니다.
analyst	619	네, 슛을 아끼지 않는 게 좋죠.
analyst	725	네, 압박 강도를 올리고 나서 상대가 후방에서 공을 못 돌리고 있습니다.
analyst	627	네, 위험한 위치는 아닙니다.
analyst	615	네, 이 시점의 교체는 늦기 전에 하는 게 맞죠.
analyst	568	늦었지만 다음 경기 분위기를 만드는 골입니다.
analyst	614	다리가 무거워진 자리를 먼저 정리합니다.
analyst	1395	다섯을 뒤에 세웠습니다. 역습을 노리는 배치죠.
analyst	745	라인을 내렸는데도 상대가 계속 두드립니다. 버티는 시간이 길어지네요.
analyst	742	라인을 내린 뒤에 나온 역습입니다. 이걸 노린 거죠.
analyst	737	라인을 올린 뒤로 상대 진영에서 경기가 이어집니다.
analyst	738	라인을 올린 뒤에 나온 뒷공간 장면입니다. 이게 이 선택의 값이죠.
caster	434	만회골입니다. 조금 늦었지만 의미는 있습니다.
analyst	1394	백 파이브로 폭을 넓게 지킵니다.
analyst	613	벤치가 흐름을 바꿔 보겠다는 겁니다.
analyst	752	속도를 줄이고 나서 볼을 오래 소유합니다. 시간을 관리하는 거죠.
analyst	753	속도를 줄인 사이에 상대가 자리를 잡았습니다.
analyst	1382	스리백으로 뒤를 두껍게 세웠습니다.
analyst	765	스리백으로 바꾼 뒤 중앙이 넓어져 있습니다.
analyst	764	스리백으로 바꾼 뒤로 윙백 두 명이 사실상 윙어처럼 올라옵니다.
analyst	734	압박을 낮추고 나서 상대에게 시간을 주고 있습니다.
analyst	733	압박을 낮춘 뒤로 공을 끊고 나가는 거리가 길어졌습니다.
analyst	724	압박을 올린 뒤로 높은 위치에서 공을 끊는 장면이 나옵니다.
analyst	729	압박을 올린 뒤로 이런 뒷공간 장면이 늘었습니다.
analyst	728	압박을 올린 만큼 뒷공간이 비어 있습니다. 위험 부담은 감수하겠다는 거죠.
analyst	618	이렇게 두드리다 보면 하나는 들어갑니다.
analyst	1398	익숙하지 않은 배치입니다. 첫 십 분을 보면 답이 나옵니다.
analyst	761	중앙에 모인 사이 측면이 열려 있습니다.
analyst	760	중앙으로 좁힌 뒤로 짧은 패스가 늘었습니다.
analyst	757	측면에 무게를 실은 만큼 중앙이 비어 있습니다.
analyst	756	측면으로 붙이기 시작한 뒤로 계속 저쪽에서 장면이 나옵니다.
analyst	749	템포를 올린 뒤로 실수도 같이 나오고 있습니다. 급할 때 나오는 장면이죠.
analyst	748	템포를 올린 뒤로 전개가 눈에 띄게 빨라졌습니다.
analyst	772	포메이션을 바꾼 뒤로 서는 위치가 달라졌습니다.
analyst	773	포메이션을 바꾼 직후라 아직 자리가 덜 잡혔습니다.
analyst	768	포백으로 돌아온 뒤로 뒤가 정리됐습니다.
analyst	769	포백으로 돌아왔는데 측면 뒤가 계속 노출됩니다.
analyst	626	흐름을 끊는 것도 경기 운영이죠.
