# 말이 끝까지 안 들어간 큐 — 재생성 대상
# id	text
C1-03	실제로 대한민국은 1승 2패로 조별리그에서 탈락했습니다.
C1-04	그 대회를 처음부터 다시 치릅니다.
C1-07	리더보드 보기는 다른 감독들의 순위표입니다.
C2-01	전체 일정입니다.
C2-03	결승까지 가면 최대 여덟 경기입니다.
C2-05	첫 상대 체코전은 실제로 2대 1로 이긴 경기입니다.
C2-07	토너먼트 대진은 조별리그를 통과해야 정해집니다.
C3-02	먼저 선발 라인업입니다.
C3-03	포메이션은 여섯 가지 중에 고릅니다.
C3-04	4-2-3-1에서 3-5-2로 바꾸면 열한 명이 자동으로 재배치됩니다.
C3-05	선수는 끌어서 옮깁니다.
C3-06	집으면 선수가 커서를 따라오고,
C3-07	다른 선수 위에 올리면 표시가 뜹니다.
C3-08	여기서 놓으면 두 선수의 자리가 바뀝니다.
C3-09	벤치 선수 위에 놓으면 교체가 됩니다.
C3-12	선수를 클릭하면 상세 카드가 열립니다.
C3-14	두 명을 고르면 두 선수를 나란히 비교합니다.
C3-15	오른쪽 배치 점검에서 자리에 안 맞는 선수를 알려 줍니다.
C4-02	태세부터 보겠습니다.
C4-05	숫자가 아니라 그림으로 확인할 수 있습니다.
C6-01	경기가 시작됩니다.
C7-03	흐름이 넘어가거나 골이 나면 화면에 제안이 뜹니다.
C7-05	하프타임에는 팀 토크를 합니다.
C7-08	나갈 선수와 들어올 선수를 고르고 확정합니다.
C7-09	경기를 멈추지 않고 터치라인에서 외칠 수도 있습니다.
C7-11	전술 확정을 누르면 경기가 다시 시작됩니다.
C8-01	경기가 끝나면 기자회견이 열립니다.
C8-05	어떻게 답하느냐가 다음 화면을 바꿉니다.
C9-03	이미지로 저장해서 공유할 수도 있습니다.
C10-02	지금 바로 플레이할 수 있습니다.
