# 무음 클립 — 원본 wav부터 비어 있다(캐리어 절단이 빈 구간을 집음)
# key	cut	role	길이	텍스트
l/c697db1f7b	head	caster	0.36s	아,
l/967266991a	head	caster	0.35s	자,
l/9a1b5e610e	head	caster	0.27s	네,
l/570e0b0d8c	head	caster	0.36s	그런데,
l/e8a27bd50d	head	caster	0.24s	또
l/e494f0ad24	head	caster	0.36s	오 대
l/87cf33fd56	head	caster	0.38s	캐나다,
l/0d33e20a33	head	caster	0.38s	골!
l/8cbb379d24	head	caster	0.26s	대
l/7ad74b38a2	head	caster	0.32s	일.
l/222012e2aa	head	caster	0.18s	이.
l/e4cc76306a	head	caster	0.27s	삼.
l/9115b72779	head	caster	0.22s	오.
l/b74bda6d50	head	caster	0.25s	육.
l/c125966a3b	head	caster	0.27s	칠.
l/3176d313bf	head	caster	0.29s	팔.
l/05552142ac	head	caster	0.37s	구.
l/2e98121fd4	head	caster	0.30s	십.
l/0aea3e3f31	head	caster	0.39s	일!
l/dc6b693b8b	head	caster	0.34s	이!
l/ea52934270	head	caster	0.27s	삼!
l/5d045ff125	head	caster	0.33s	오!
l/44a72e48e2	head	caster	0.24s	육!
l/39c1b08d96	head	caster	0.40s	구!
l/b86dae5403	head	caster	0.26s	십!
# 총 25개
