# 잘린 것으로 보이는 클립 16개 (음절당 0.058초 미만 · 중앙 0.144)
l/3b29dee6cb	tail	caster	1.01s	26음절	0.039	쐐기골입니다. 이제 뒤집기는 어려워 보이네요. 연속 실점입니다.
l/38f9acc470	tail	caster	1.06s	27음절	0.039	승부에 쐐기를 박는 골입니다. 또 들어갔습니다. 수비가 흔들리네요.
l/86cab0fc12	tail	caster	0.93s	23음절	0.041	점수가 벌어집니다. 또 들어갔습니다. 수비가 흔들리네요.
l/42ce19f17b	tail	caster	0.94s	22음절	0.043	오늘 벌써 아홉 번째 파울입니다. 카드가 나올 수 있어요.
l/156f907d51	tail	caster	1.11s	26음절	0.043	또 한 골! 오늘 두 골째입니다! 또 들어갔습니다. 수비가 흔들리네요.
l/575358dad3	tail	caster	0.92s	21음절	0.044	오늘 벌써 네 번째 파울입니다. 카드가 나올 수 있어요.
l/71e735d96a	tail	caster	0.97s	22음절	0.044	오늘 벌써 여섯 번째 파울입니다. 카드가 나올 수 있어요.
l/82fd9f1ce9	tail	caster	0.98s	22음절	0.045	오늘 벌써 여덟 번째 파울입니다. 카드가 나올 수 있어요.
l/dab776a3cb	tail	caster	1.00s	22음절	0.045	오늘 벌써 여러 번째 파울입니다. 카드가 나올 수 있어요.
l/965b653a8a	tail	caster	0.96s	21음절	0.046	오늘 벌써 열 번째 파울입니다. 카드가 나올 수 있어요.
l/dd05d58d63	head	caster	0.33s	7음절	0.047	골! 극장골입니다!
l/0bd7400c40	tail	caster	1.06s	21음절	0.051	오늘 벌써 세 번째 파울입니다. 카드가 나올 수 있어요.
l/338bc1b5b0	tail	caster	1.12s	22음절	0.051	오늘 벌써 일곱 번째 파울입니다. 카드가 나올 수 있어요.
l/ca296b4a93	tail	caster	1.16s	22음절	0.053	오늘 벌써 다섯 번째 파울입니다. 카드가 나올 수 있어요.
l/3033bca7c8	tail	caster	1.13s	21음절	0.054	오늘 벌써 두 번째 파울입니다. 카드가 나올 수 있어요.
l/8ff67f5f62	tail	caster	1.14s	20음절	0.057	또 한 골! 오늘 두 골째입니다! 순식간에 두 골입니다.
